item_id,item,item weight,prototype
1377,1779,1.9996583,76
1759,1591,1.9974371,76
1988,1882,1.996494,76
1379,173,1.9956503,76
1595,3438,1.9934497,76
819,485,1.9892933,76
1636,1920,1.9850338,76
1601,1037,1.9843144,76
1598,1858,1.9835955,76
730,44,1.9825666,76
2642,2848,1.9997791,77
1935,3813,1.9994037,77
2146,3559,1.9991326,77
2769,3632,1.9984399,77
2627,3739,1.9982091,77
2405,3222,1.9972911,77
2406,3171,1.9952328,77
2943,746,1.9951133,77
1733,3736,1.9951026,77
1578,3069,1.9943511,77
2346,917,1.9997032,78
345,3500,1.9969146,78
1632,1919,1.9962659,78
1230,937,1.9842598,78
2092,2996,1.9757805,78
1496,986,1.9488037,78
353,2497,1.8901287,78
608,1487,1.8875034,78
1575,277,1.8861225,78
1222,140,1.885514,78
1150,3727,1.9990778,79
1317,3018,1.9956331,79
689,2117,1.9862971,79
1358,2459,1.9749718,79
1811,1924,1.9732716,79
950,2550,1.9689479,79
1305,3930,1.9675128,79
1397,3550,1.9657028,79
658,3576,1.9652045,79
652,2901,1.961427,79
3008,2562,1.9999276,80
3006,1692,1.9998906,80
2912,2637,1.9992113,80
2977,925,1.9982085,80
2952,3878,1.9978051,80
2688,3345,1.9964416,80
1477,392,1.9956467,80
2100,3924,1.9917829,80
2998,1138,1.9913157,80
1383,3464,1.9903374,80
2567,419,1.9998219,81
430,275,1.9997091,81
2250,3743,1.999304,81
2733,3392,1.9991639,81
2329,1854,1.998775,81
2732,2382,1.9987667,81
2315,2597,1.9985542,81
2321,473,1.9982142,81
2432,486,1.9980928,81
3013,1503,1.9979951,81
1961,3834,1.9997697,82
1187,976,1.9988588,82
2115,1943,1.9966426,82
2125,2180,1.9959667,82
2939,3792,1.9934511,82
3071,1928,1.9924479,82
2670,3368,1.9918256,82
2575,1008,1.9897782,82
3039,3311,1.98932,82
1539,2820,1.98732,82
2281,241,1.9999588,83
2935,840,1.9999447,83
3078,656,1.9995689,83
1780,3895,1.9995244,83
1637,181,1.9993904,83
2934,3669,1.9993715,83
2851,888,1.999258,83
2724,433,1.9991063,83
1630,2555,1.9991053,83
3005,64,1.9988508,83
2287,2768,1.9998199,84
3121,554,1.9976547,84
2663,3912,1.9974267,84
2298,3902,1.9964972,84
2251,3867,1.9947771,84
2474,1496,1.9932437,84
1964,3853,1.9930077,84
3058,2775,1.9899062,84
2982,962,1.9795876,84
1826,3934,1.9731765,84
971,1041,1.9994035,85
1894,306,1.9983397,85
1404,272,1.994209,85
241,2966,1.9862826,85
700,232,1.9796269,85
1376,307,1.9766533,85
170,3083,1.975657,85
1322,1280,1.9733669,85
1602,2357,1.9675047,85
207,994,1.9657776,85
2430,195,1.9995732,86
2369,3138,1.9984902,86
1342,1621,1.9984677,86
2189,4,1.9964554,86
2223,271,1.9944984,86
2324,2829,1.9937813,86
2776,1612,1.9914007,86
1332,3045,1.9903545,86
2896,270,1.9896914,86
2219,182,1.9896138,86
2753,2211,1.9998765,87
2862,2187,1.9994396,87
3023,3349,1.9989378,87
1731,2904,1.9987583,87
2548,1067,1.9980079,87
1449,3049,1.9979649,87
2754,2227,1.9977918,87
2868,2205,1.9975057,87
2614,974,1.9967059,87
2880,3309,1.9955527,87
231,597,1.9969877,88
984,440,1.9940057,88
65,3255,1.9894708,88
492,539,1.9811615,88
863,2671,1.9759799,88
233,1569,1.971275,88
1052,11,1.9582529,88
349,587,1.949214,88
605,500,1.9485192,88
412,339,1.9395138,88
1465,2176,1.9994274,89
1341,2349,1.9993417,89
1531,2729,1.997533,89
1080,1419,1.9909741,89
1921,1289,1.9840603,89
1088,2239,1.9822111,89
1236,3814,1.9784153,89
2074,2068,1.9728837,89
1075,154,1.9728525,89
1537,3613,1.9719093,89
1453,2359,1.9989362,90
557,3148,1.9914694,90
443,2336,1.9799831,90
45,1357,1.9611492,90
76,265,1.9574645,90
1046,1680,1.9489286,90
243,17,1.9434506,90
338,2324,1.9364774,90
159,509,1.9353181,90
309,1678,1.9267211,90
1661,1794,1.9994719,91
2030,299,1.998225,91
2366,1484,1.9958813,91
2083,523,1.9925901,91
1473,2725,1.990498,91
2005,2611,1.9879639,91
217,1897,1.9864454,91
1584,43,1.9837677,91
1094,2682,1.9832134,91
1340,3078,1.9828789,91
1234,2426,1.9998815,92
3030,1814,1.9995694,92
2786,638,1.9991218,92
2979,2998,1.999095,92
2257,767,1.9988756,92
2192,753,1.9986347,92
2193,685,1.9985335,92
2777,2837,1.9981958,92
2467,2388,1.9980228,92
3050,3817,1.9979849,92
1965,760,1.9996829,93
1981,2494,1.998216,93
3037,2441,1.9903576,93
1964,3853,1.9746809,93
2663,3912,1.9656483,93
2287,2768,1.9501162,93
3121,554,1.948062,93
2298,3902,1.9389074,93
2251,3867,1.9328792,93
2474,1496,1.928998,93
535,2111,1.9989274,94
1711,3040,1.996572,94
861,2301,1.9960164,94
981,1297,1.9631696,94
1056,2416,1.9507334,94
1053,2261,1.9459383,94
